  Action  ,  Company Number  ,  Account Number  ,  Site  ,  Container Group  ,  Existing Effective Date  ,  New Effective Date  ,  Close Date  ,  Charge Code  ,  Charge Type  ,  Charge Method  ,  Tax App Code  ,  Existing Charge Rate  ,  New Charge Rate  ,  Transaction Code  ,  Reason Code  ,  Competitor Code  ,  Contract CSA#  ,  Lead Source  ,
CHANGE,858,274,1,2,2/21/2016,8/4/2017,1/1/1900,RES,R,F,1,60,62.4,3,64,N/A,RM16070001,V,Row not found in BIPCCR*
CHANGE,858,1089,2,1,3/1/2016,7/21/2017,1/1/1900,RES,R,F,1,57,59.28,3,64,N/A,RM16070002,V,Row not found in BIPCCR*
CHANGE,858,2617,2,1,3/6/2016,7/21/2017,1/1/1900,RES,R,F,1,45,49.5,3,64,N/A,RM16070003,V,Row not found in BIPCCR*
CHANGE,858,5699,2,1,7/1/2016,7/25/2017,1/1/1900,RES,R,F,1,76.5,79.56,3,64,N/A,RM16070004,V,Row not found in BIPCCR*
CHANGE,858,5699,2,1,7/1/2016,7/25/2017,1/1/1900,RES,R,F,1,76.5,79.56,3,64,N/A,RM16070004,V,Row not found in BIPCCR*
CHANGE,858,6784,1,1,10/1/2015,8/12/2017,1/1/1900,RES,R,F,1,76.5,79.56,3,64,N/A,RM16070005,V,Row not found in BIPCCR*
CHANGE,858,7489,1,2,1/1/2016,7/23/2017,1/1/1900,RES,R,F,1,51,53.04,3,64,N/A,RM16070006,V,Row not found in BIPCCR*
CHANGE,858,7620,1,2,1/1/2016,7/25/2017,1/1/1900,RES,R,F,1,112.5,117,3,64,N/A,RM16070007,V,Row not found in BIPCCR*
CHANGE,858,8721,1,4,10/1/2015,7/21/2017,1/1/1900,R10,R,F,1,45,49.5,3,64,N/A,RM1607000D,V,Row not found in BIPCCR*
CHANGE,858,8963,2,1,1/1/2016,7/21/2017,1/1/1900,RES,R,F,1,63,69.3,3,64,N/A,RM1607000J,V,Row not found in BIPCCR*
CHANGE,858,8963,2,2,7/1/2016,7/21/2017,1/1/1900,REC,R,F,0,18,19.8,3,64,N/A,RM1607000J,V,Row not found in BIPCCR*
CHANGE,858,1004704,1,1,7/1/2016,7/24/2017,1/1/1900,RES,R,F,1,39,42.9,3,64,N/A,RM1607001K,V,Row not found in BIPCCR*
CHANGE,858,1171560,1,2,6/1/2015,8/19/2017,1/1/1900,RES,R,F,1,55.5,57.72,3,64,N/A,RM1607001X,V,Row not found in BIPCCR*
CHANGE,858,4000082,2,1,6/12/2016,7/21/2017,1/1/1900,RES,R,F,1,26,27.04,3,64,N/A,RM16070023,V,Row not found in BIPCCR*
CHANGE,858,4000129,1,1,5/1/2015,8/14/2017,1/1/1900,RES,R,F,1,26,28.6,3,64,N/A,RM16070024,V,Row not found in BIPCCR*
CHANGE,858,4000387,1,2,12/1/2015,8/14/2017,1/1/1900,RES,R,F,1,17,18.7,3,64,N/A,RM16070026,V,Row not found in BIPCCR*
CHANGE,858,4001706,1,1,5/1/2015,7/26/2017,1/1/1900,RES,R,F,1,26,27.04,3,64,N/A,RM1607002N,V,Row not found in BIPCCR*
CHANGE,858,4002979,1,2,12/1/2015,7/21/2017,1/1/1900,RES,R,F,1,17,18.7,3,64,N/A,RM1607002Z,V,Row not found in BIPCCR*
CHANGE,858,4003556,1,1,5/1/2015,8/23/2017,1/1/1900,RES,R,F,1,26,27.04,3,64,N/A,RM16070037,V,Row not found in BIPCCR*
CHANGE,858,4005241,1,1,5/1/2015,7/21/2017,1/1/1900,RES,R,F,1,26,28.6,3,64,N/A,RM1607003U,V,Row not found in BIPCCR*
CHANGE,858,4005758,1,1,5/1/2015,8/19/2017,1/1/1900,RES,R,F,1,26,27.04,3,64,N/A,RM16070044,V,Row not found in BIPCCR*
CHANGE,858,4006018,2,2,12/1/2015,8/4/2017,1/1/1900,REC,R,F,0,6,6.24,3,64,N/A,RM16070046,V,Row not found in BIPCCR*
CHANGE,858,4006498,1,3,11/22/2015,8/15/2017,1/1/1900,RES,R,F,1,22,22.88,3,64,N/A,RM1607004E,V,Row not found in BIPCCR*
CHANGE,858,4006809,1,1,5/1/2015,8/19/2017,1/1/1900,RES,R,F,1,26,28.6,3,64,N/A,RM1607004J,V,Row not found in BIPCCR*
CHANGE,858,4007294,2,1,7/1/2016,7/26/2017,1/1/1900,RES,R,F,1,78,81.12,3,64,N/A,RM1607004P,V,Row not found in BIPCCR*
CHANGE,858,4007591,1,1,7/1/2016,7/21/2017,1/1/1900,RES,R,F,1,39,40.56,3,64,N/A,RM1607004X,V,Row not found in BIPCCR*
CHANGE,858,4008650,2,1,5/29/2016,7/26/2017,1/1/1900,RES,R,F,1,75,82.5,3,64,N/A,RM1607005F,V,Row not found in BIPCCR*
CHANGE,858,4008650,2,2,5/29/2016,7/26/2017,1/1/1900,REC,R,F,1,16,17.6,3,64,N/A,RM1607005F,V,Row not found in BIPCCR*
CHANGE,858,6001208,2,2,7/1/2016,7/24/2017,1/1/1900,REC,R,F,1,15,15.6,3,64,N/A,RM1607005N,V,Row not found in BIPCCR*
CHANGE,865,1008581,1,1,11/2/2015,7/21/2017,1/1/1900,#40,R,F,0,38.74,40.29,3,64,N/A,RM16070065,V,Row not found in BIPCCR*
CHANGE,865,1008581,1,1,11/2/2015,7/21/2017,1/1/1900,RES,R,F,0,32.24,33.53,3,64,N/A,RM16070065,V,Row not found in BIPCCR*
CHANGE,865,1011605,1,1,8/3/2015,7/21/2017,1/1/1900,#04,R,F,0,78,85.8,3,64,N/A,RM1607006W,V,Row not found in BIPCCR*
CHANGE,865,1011915,1,2,8/3/2015,8/10/2017,1/1/1900,#04,R,F,0,78,81.12,3,64,N/A,RM16070072,V,Row not found in BIPCCR*
CHANGE,865,1011997,1,1,12/2/2015,7/21/2017,1/1/1900,#48,R,F,0,33.64,34.99,3,64,N/A,RM16070074,V,Row not found in BIPCCR*
CHANGE,865,1011997,1,1,12/2/2015,7/21/2017,1/1/1900,RES,R,F,0,28.16,29.29,3,64,N/A,RM16070074,V,Row not found in BIPCCR*
CHANGE,865,1012021,1,1,9/1/2015,8/18/2017,1/1/1900,#38,R,F,0,36.22,37.67,3,64,N/A,RM16070075,V,Row not found in BIPCCR*
CHANGE,865,1012021,1,1,9/1/2015,8/18/2017,1/1/1900,RES,R,F,0,29.7,30.89,3,64,N/A,RM16070075,V,Row not found in BIPCCR*
CHANGE,865,1012410,1,1,8/3/2015,7/21/2017,1/1/1900,#04,R,F,0,78,81.12,3,64,N/A,RM1607007D,V,Row not found in BIPCCR*
CHANGE,865,1016441,1,1,12/2/2015,8/17/2017,1/1/1900,RES,R,F,0,28.8,31.68,3,64,N/A,RM1607008G,V,Row not found in BIPCCR*
CHANGE,865,1016847,1,1,8/3/2015,8/2/2017,1/1/1900,#04,R,F,0,78,81.12,3,64,N/A,RM1607008M,V,Row not found in BIPCCR*
CHANGE,865,5026503,1,2,8/3/2015,7/21/2017,1/1/1900,#04,R,F,0,78,85.8,3,64,N/A,RM1607009R,V,Row not found in BIPCCR*
CHANGE,865,5044801,1,3,4/4/2016,7/21/2017,1/1/1900,#03,R,F,0,75,82.5,3,64,N/A,RM160700A5,V,Row not found in BIPCCR*
CHANGE,865,5044801,1,3,4/4/2016,7/21/2017,1/1/1900,RES,R,F,0,85.23,93.75,3,64,N/A,RM160700A5,V,Row not found in BIPCCR*
CHANGE,865,5066835,1,1,2/2/2016,7/21/2017,1/1/1900,R10,R,F,0,39,40.56,3,64,N/A,RM160700AX,V,Row not found in BIPCCR*
CHANGE,865,5066835,1,1,2/2/2016,7/21/2017,1/1/1900,Z41,R,F,0,43.5,45.24,3,64,N/A,RM160700AX,V,Row not found in BIPCCR*
CHANGE,894,3915,2,1,2/1/2016,7/21/2017,1/1/1900,REC,R,F,0,12,12.48,3,64,N/A,RM160700BM,V,Row not found in BIPCCR*
CHANGE,894,10753,1,4,9/1/2014,7/21/2017,1/1/1900,RES,R,F,1,15,15.6,3,64,N/A,RM160700BO,V,Row not found in BIPCCR*
CHANGE,894,10753,2,1,9/1/2014,7/21/2017,1/1/1900,REC,R,F,0,18,18.72,3,64,N/A,RM160700BO,V,Row not found in BIPCCR*
CHANGE,894,11406,1,2,8/1/2014,7/27/2017,1/1/1900,RES,R,F,4,36,39.6,3,64,N/A,RM160700BQ,V,Row not found in BIPCCR*
CHANGE,894,19224,1,5,6/1/2016,7/29/2017,1/1/1900,RES,R,F,1,27,28.08,3,64,N/A,RM160700BV,V,Row not found in BIPCCR*
CHANGE,894,20090,1,5,8/1/2015,7/21/2017,1/1/1900,RES,R,F,1,17,18.7,3,64,N/A,RM160700BY,V,Row not found in BIPCCR*
CHANGE,894,20090,2,1,7/2/2015,7/21/2017,1/1/1900,REC,R,F,0,12,13.2,3,64,N/A,RM160700BY,V,Row not found in BIPCCR*
CHANGE,894,21713,1,9,9/1/2014,7/22/2017,1/1/1900,RES,R,F,1,23,25.3,3,64,N/A,RM160700C0,V,Row not found in BIPCCR*
CHANGE,894,25908,3,1,8/5/2015,7/25/2017,1/1/1900,RES,R,F,1,15,16.5,3,64,N/A,RM160700C3,V,Row not found in BIPCCR*
CHANGE,894,27851,1,3,2/1/2015,7/21/2017,1/1/1900,RES,R,F,4,35,38.5,3,64,N/A,RM160700C7,V,Row not found in BIPCCR*
CHANGE,894,28114,1,3,2/1/2015,7/23/2017,1/1/1900,RES,R,F,1,48,52.8,3,64,N/A,RM160700C8,V,Row not found in BIPCCR*
CHANGE,894,36362,1,5,8/1/2014,7/21/2017,1/1/1900,RES,R,F,1,15,15.6,3,64,N/A,RM160700CI,V,Row not found in BIPCCR*
CHANGE,894,36710,1,4,8/1/2014,7/21/2017,1/1/1900,RES,R,F,4,45,49.5,3,64,N/A,RM160700CJ,V,Row not found in BIPCCR*
CHANGE,894,36774,1,3,12/1/2015,7/26/2017,1/1/1900,RES,R,F,1,14,15.4,3,64,N/A,RM160700CM,V,Row not found in BIPCCR*
CHANGE,894,42228,1,3,8/1/2014,8/2/2017,1/1/1900,RES,R,F,4,24,26.4,3,64,N/A,RM160700CN,V,Row not found in BIPCCR*
CHANGE,894,42228,2,1,8/1/2014,8/2/2017,1/1/1900,REC,R,F,0,18,19.8,3,64,N/A,RM160700CN,V,Row not found in BIPCCR*
CHANGE,894,42427,1,3,11/1/2015,7/26/2017,1/1/1900,RES,R,F,1,24,26.4,3,64,N/A,RM160700CO,V,Row not found in BIPCCR*
CHANGE,894,42427,2,1,11/1/2015,7/26/2017,1/1/1900,REC,R,F,0,18,19.8,3,64,N/A,RM160700CO,V,Row not found in BIPCCR*
CHANGE,894,43091,1,3,3/1/2015,7/21/2017,1/1/1900,RES,R,F,1,51,56.1,3,64,N/A,RM160700CQ,V,Row not found in BIPCCR*
CHANGE,894,43647,1,3,8/1/2014,7/21/2017,1/1/1900,RES,R,F,1,15,16.5,3,64,N/A,RM160700CS,V,Row not found in BIPCCR*
CHANGE,894,44244,1,3,8/1/2014,7/21/2017,1/1/1900,RES,R,F,1,19,19.76,3,64,N/A,RM160700CU,V,Row not found in BIPCCR*
CHANGE,894,44483,1,4,1/1/2016,7/23/2017,1/1/1900,RES,R,F,1,29.25,30.42,3,64,N/A,RM160700CW,V,Row not found in BIPCCR*
CHANGE,894,44483,2,1,8/1/2014,7/23/2017,1/1/1900,REC,R,F,0,18,18.72,3,64,N/A,RM160700CW,V,Row not found in BIPCCR*
CHANGE,894,44590,1,3,3/1/2015,7/22/2017,1/1/1900,RES,R,F,1,33,36.3,3,64,N/A,RM160700CY,V,Row not found in BIPCCR*
CHANGE,894,45482,1,3,9/1/2014,7/21/2017,1/1/1900,RES,R,F,4,24,24.96,3,64,N/A,RM160700CZ,V,Row not found in BIPCCR*
CHANGE,894,45482,2,1,9/1/2014,7/21/2017,1/1/1900,REC,R,F,0,18,18.72,3,64,N/A,RM160700CZ,V,Row not found in BIPCCR*
CHANGE,894,46090,1,2,11/1/2015,7/23/2017,1/1/1900,RES,R,F,4,30,33,3,64,N/A,RM160700D2,V,Row not found in BIPCCR*
CHANGE,894,46886,1,3,8/1/2014,7/25/2017,1/1/1900,RES,R,F,1,18,18.72,3,64,N/A,RM160700D4,V,Row not found in BIPCCR*
CHANGE,894,46886,2,1,8/1/2014,7/25/2017,1/1/1900,REC,R,F,0,18,18.72,3,64,N/A,RM160700D4,V,Row not found in BIPCCR*
CHANGE,894,49646,1,5,10/1/2014,7/28/2017,1/1/1900,RES,R,F,4,15,16.5,3,64,N/A,RM160700DC,V,Row not found in BIPCCR*
CHANGE,894,50205,1,3,9/1/2014,7/31/2017,1/1/1900,RES,R,F,4,15,16.5,3,64,N/A,RM160700DI,V,Row not found in BIPCCR*
CHANGE,894,52489,1,3,10/1/2014,7/24/2017,1/1/1900,RES,R,F,1,16,16.64,3,64,N/A,RM160700DR,V,Row not found in BIPCCR*
CHANGE,894,52770,1,3,10/1/2014,7/27/2017,1/1/1900,RES,R,F,1,15,16.5,3,64,N/A,RM160700DT,V,Row not found in BIPCCR*
CHANGE,894,53125,1,3,4/1/2016,7/25/2017,1/1/1900,RES,R,F,1,21,21.84,3,64,N/A,RM160700DV,V,Row not found in BIPCCR*
CHANGE,894,53525,1,3,4/1/2016,8/9/2017,1/1/1900,RES,R,F,1,24,24.96,3,64,N/A,RM160700DW,V,Row not found in BIPCCR*
CHANGE,894,53525,2,1,10/1/2014,8/9/2017,1/1/1900,REC,R,F,0,18,18.72,3,64,N/A,RM160700DW,V,Row not found in BIPCCR*
CHANGE,894,53609,1,3,12/1/2015,7/21/2017,1/1/1900,R10,R,F,4,21,21.84,3,64,N/A,RM160700DX,V,Row not found in BIPCCR*
CHANGE,894,55004,1,3,4/1/2015,7/21/2017,1/1/1900,RES,R,F,1,17,18.7,3,64,N/A,RM160700E4,V,Row not found in BIPCCR*
CHANGE,894,55823,1,3,11/1/2015,8/1/2017,1/1/1900,RES,R,F,1,21,21.84,3,64,N/A,RM160700E9,V,Row not found in BIPCCR*
CHANGE,894,55823,2,1,8/1/2014,8/1/2017,1/1/1900,REC,R,F,0,18,18.72,3,64,N/A,RM160700E9,V,Row not found in BIPCCR*
CHANGE,894,56674,1,3,4/1/2016,7/22/2017,1/1/1900,RES,R,F,1,21,21.84,3,64,N/A,RM160700EJ,V,Row not found in BIPCCR*
CHANGE,894,56674,2,1,4/1/2016,7/22/2017,1/1/1900,REC,R,F,0,18,18.72,3,64,N/A,RM160700EJ,V,Row not found in BIPCCR*
CHANGE,894,56934,1,6,1/1/2016,7/22/2017,1/1/1900,RES,R,F,1,18,18.72,3,64,N/A,RM160700EK,V,Row not found in BIPCCR*
CHANGE,894,58573,2,1,10/1/2014,7/21/2017,1/1/1900,REC,R,F,0,18,19.8,3,64,N/A,RM160700ET,V,Row not found in BIPCCR*
CHANGE,894,58665,1,3,10/1/2014,7/21/2017,1/1/1900,RES,R,F,1,13.5,14.04,3,64,N/A,RM160700EV,V,Row not found in BIPCCR*
CHANGE,894,59126,1,3,5/1/2016,7/23/2017,1/1/1900,RES,R,F,1,27,28.08,3,64,N/A,RM160700F1,V,Row not found in BIPCCR*
CHANGE,894,59126,2,1,8/1/2015,7/23/2017,1/1/1900,REC,R,F,0,12,12.48,3,64,N/A,RM160700F1,V,Row not found in BIPCCR*
